PVS,dataset,resolution,bitrate,fps,codec,N_raw,N_clean,max_removed,min_removed,outlier_IDs,users_removed,n_users_removed,MOS_raw,MOS_iqr,MOS_corr,MOS_corr_iqr,MOS_std,MOS_ci_low,MOS_ci_high,MOS,MOS_aligned
3rd_02_1280x720_60_yuv420p.yuv_AV1_20M,lofps_4K_testnum_013,720,20.0,60,AV1,30,27,0,3,"[11.0, 15.0, 21.0]",[12. 13. 14. 19. 27.],5,4.969,5.1507,5.0012,5.2286,0.435,4.986,5.315,5.2286,4.617526944504027
3rd_02_1920x1080_30_yuv420p.yuv_HEVC_1M,lofps_4K_testnum_013,1080,1.0,30,HEVC,30,30,0,0,[],[12. 13. 14. 19. 27.],5,3.205,3.205,3.1,2.9892,1.108,2.809,3.601,2.9892,3.12418749027096
3rd_02_1920x1080_60_yuv420p.yuv_H264_1.5M,lofps_4K_testnum_013,1080,1.5,60,H264,30,30,0,0,[],[12. 13. 14. 19. 27.],5,2.1947,2.1947,2.1284,2.1284,0.937,1.859,2.53,2.1284,2.563489682395962
3rd_02_1920x1080_60_yuv420p.yuv_HEVC_10M,lofps_4K_testnum_013,1080,10.0,60,HEVC,30,28,0,2,"[3.0, 27.0]",[12. 13. 14. 19. 27.],5,4.969,5.1175,4.9956,5.1096,0.532,4.92,5.315,5.1096,4.483671542183561
3rd_02_1920x1080_60_yuv420p.yuv_HEVC_5M,lofps_4K_testnum_013,1080,5.0,60,HEVC,30,30,0,0,[],[12. 13. 14. 19. 27.],5,4.4463,4.4463,4.4272,4.4272,0.685,4.201,4.691,4.4272,3.8898629141131655
3rd_02_3840x2160_30_yuv420p.yuv_AV1_20M,lofps_4K_testnum_013,2160,20.0,30,AV1,30,30,0,0,[],[12. 13. 14. 19. 27.],5,4.493,4.493,4.6512,4.7508,0.953,4.152,4.834,4.7508,4.138483312873308
3rd_02_3840x2160_60_yuv420p.yuv_H264_10M,lofps_4K_testnum_013,2160,10.0,60,H264,30,30,0,0,[],[12. 13. 14. 19. 27.],5,3.9843,3.9843,3.968,3.968,0.911,3.658,4.31,3.968,3.610087102272908
3rd_02_960x540_30_yuv420p.yuv_H264_0.75M,lofps_4K_testnum_013,540,0.75,30,H264,30,30,0,0,[],[12. 13. 14. 19. 27.],5,2.2413,2.2413,2.092,2.092,0.882,1.926,2.557,2.092,2.532692965776345
3rd_02_960x540_30_yuv420p.yuv_HEVC_1M,lofps_4K_testnum_013,540,1.0,30,HEVC,30,29,1,0,[12.0],[12. 13. 14. 19. 27.],5,2.9133,2.8272,2.6912,2.4852,1.096,2.428,3.226,2.4852,2.829916536102184
3rd_03_1280x720_30_yuv420p.yuv_AV1_0.1M,lofps_4K_testnum_013,720,0.1,30,AV1,30,29,1,0,[26.0],[12. 13. 14. 19. 27.],5,2.036,1.939,1.9072,1.7846,0.757,1.664,2.214,1.7846,2.240668892475407
3rd_03_30_2160,lofps_4K_testnum_013,2160,100.0,30,ref,30,29,0,1,[12.0],[12. 13. 14. 19. 27.],5,5.6457,5.7141,5.788,5.8267,0.632,5.484,5.944,5.8267,5.469063277515422
3rd_03_3840x2160_30_yuv420p.yuv_AV1_1M,lofps_4K_testnum_013,2160,1.0,30,AV1,30,30,0,0,[],[12. 13. 14. 19. 27.],5,4.1687,4.1687,4.1584,4.1584,0.933,3.835,4.503,4.1584,3.717840319352523
3rd_03_3840x2160_30_yuv420p.yuv_HEVC_1.5M,lofps_4K_testnum_013,2160,1.5,30,HEVC,30,30,0,0,[],[12. 13. 14. 19. 27.],5,4.0263,4.0263,4.122,4.122,1.069,3.644,4.409,4.122,3.696457765964028
3rd_03_3840x2160_30_yuv420p.yuv_HEVC_5M,lofps_4K_testnum_013,2160,5.0,30,HEVC,31,31,0,0,[],[12. 13. 14. 19. 27.],5,5.1074,5.1074,5.4046,5.4046,1.033,4.744,5.471,5.4046,4.835588076149232
platformer_01_1280x720_60_yuv420p.yuv_AV1_0.75M,lofps_4K_testnum_014,720,0.75,60,AV1,30,29,1,0,[14.0],[ 0. 16.],2,4.3413,4.2514,4.325,4.2278,0.859,3.939,4.564,4.2278,4.2278
platformer_01_1920x1080_60_yuv420p.yuv_H264_4M,lofps_4K_testnum_014,1080,4.0,60,H264,30,30,0,0,[],[ 0. 16.],2,5.2933,5.2933,5.26,5.26,0.944,4.955,5.631,5.26,5.26
platformer_01_30_540,lofps_4K_testnum_014,540,100.0,30,ref,30,30,0,0,[],[ 0. 16.],2,4.4117,4.4117,4.4254,4.4254,0.431,4.258,4.566,4.4254,4.4254
platformer_01_3840x2160_60_yuv420p.yuv_AV1_0.3M,lofps_4K_testnum_014,2160,0.3,60,AV1,30,28,1,1,"[17.0, 18.0]",[ 0. 16.],2,4.6307,4.6475,4.5875,4.6023,0.784,4.357,4.938,4.6023,4.6023
platformer_01_960x540_30_yuv420p.yuv_HEVC_1M,lofps_4K_testnum_014,540,1.0,30,HEVC,30,30,0,0,[],[ 0. 16.],2,4.2013,4.2013,4.16,4.16,0.87,3.89,4.513,4.16,4.16
fps_01_1920x1080_30_yuv420p.yuv_H264_0.9M,lofps_4K_testnum_014,1080,0.9,30,H264,30,30,0,0,[],[ 0. 16.],2,2.3113,2.3113,2.2875,2.2875,0.827,2.015,2.607,2.2875,2.2875
fps_01_1920x1080_30_yuv420p.yuv_H264_1.1M,lofps_4K_testnum_014,1080,1.1,30,H264,30,30,0,0,[],[ 0. 16.],2,2.7547,2.7547,2.7575,2.7575,0.772,2.479,3.031,2.7575,2.7575
fps_01_1920x1080_30_yuv420p.yuv_HEVC_0.5M,lofps_4K_testnum_014,1080,0.5,30,HEVC,30,30,0,0,[],[ 0. 16.],2,3.0673,3.0673,3.015,3.015,0.822,2.773,3.362,3.015,3.015
fps_01_1920x1080_60_yuv420p.yuv_HEVC_10M,lofps_4K_testnum_014,1080,10.0,60,HEVC,30,30,0,0,[],[ 0. 16.],2,5.5173,5.5173,5.4975,5.4975,0.623,5.294,5.74,5.4975,5.4975
fps_01_3840x2160_60_yuv420p.yuv_AV1_0.3M,lofps_4K_testnum_014,2160,0.3,60,AV1,30,29,1,0,[14.0],[ 0. 16.],2,3.1397,3.0759,3.125,3.0559,0.716,2.815,3.337,3.0559,3.0559
fps_01_3840x2160_60_yuv420p.yuv_H264_10M,lofps_4K_testnum_014,2160,10.0,60,H264,30,30,0,0,[],[ 0. 16.],2,4.8197,4.8197,4.8375,4.8375,0.964,4.475,5.165,4.8375,4.8375
fps_01_60_1080,lofps_4K_testnum_014,1080,100.0,60,ref,30,30,0,0,[],[ 0. 16.],2,5.753,5.753,5.7525,5.7525,0.83,5.456,6.05,5.7525,5.7525
fps_01_960x540_30_yuv420p.yuv_H264_1.5M,lofps_4K_testnum_014,540,1.5,30,H264,30,30,0,0,[],[ 0. 16.],2,3.9937,3.9937,3.9225,3.9225,1.034,3.624,4.364,3.9225,3.9225
fps_01_960x540_30_yuv420p.yuv_HEVC_0.5M,lofps_4K_testnum_014,540,0.5,30,HEVC,30,29,1,0,[0.0],[ 0. 16.],2,3.4617,3.3752,3.3675,3.3675,0.809,3.081,3.67,3.3675,3.3675
fps_01_960x540_60_yuv420p.yuv_H264_1.5M,lofps_4K_testnum_014,540,1.5,60,H264,30,29,1,0,[14.0],[ 0. 16.],2,4.129,4.0534,4.1025,4.0204,0.648,3.817,4.289,4.0204,4.0204
sports_01_1280x720_60_yuv420p.yuv_HEVC_1M,lofps_4K_testnum_014,720,1.0,60,HEVC,30,29,1,0,[14.0],[ 0. 16.],2,4.6773,4.6134,4.665,4.5959,0.754,4.339,4.888,4.5959,4.5959
sports_01_1920x1080_30_yuv420p.yuv_HEVC_0.5M,lofps_4K_testnum_014,1080,0.5,30,HEVC,30,30,0,0,[],[ 0. 16.],2,4.1033,4.1033,4.0225,4.0225,0.837,3.804,4.403,4.0225,4.0225
sports_01_1920x1080_60_yuv420p.yuv_AV1_0.2M,lofps_4K_testnum_014,1080,0.2,60,AV1,30,28,2,0,"[14.0, 29.0]",[ 0. 16.],2,2.4863,2.29,2.4525,2.2385,0.759,2.009,2.571,2.2385,2.2385
sports_01_1920x1080_60_yuv420p.yuv_H264_1M,lofps_4K_testnum_014,1080,1.0,60,H264,30,30,0,0,[],[ 0. 16.],2,3.5363,3.5363,3.4875,3.4875,0.867,3.226,3.847,3.4875,3.4875
sports_01_3840x2160_60_yuv420p.yuv_AV1_0.5M,lofps_4K_testnum_014,2160,0.5,60,AV1,30,30,0,0,[],[ 0. 16.],2,3.1513,3.1513,3.1375,3.1375,0.859,2.844,3.459,3.1375,3.1375
3rd_01_1920x1080_60_yuv420p.yuv_HEVC_3M,lofps_4K_testnum_014,1080,3.0,60,HEVC,30,29,0,1,[3.0],[ 0. 16.],2,4.8943,4.9731,4.9075,4.9926,0.91,4.642,5.304,4.9926,4.9926
3rd_01_30_540,lofps_4K_testnum_014,540,100.0,30,ref,30,30,0,0,[],[ 0. 16.],2,5.9,5.9,5.885,5.885,0.649,5.668,6.132,5.885,5.885
3rd_01_60_1080,lofps_4K_testnum_014,1080,100.0,60,ref,30,28,0,2,"[4.0, 29.0]",[ 0. 16.],2,5.739,5.8925,5.7025,5.865,0.619,5.663,6.122,5.865,5.865
3rd_01_960x540_60_yuv420p.yuv_H264_0.3M,lofps_4K_testnum_014,540,0.3,60,H264,30,29,1,0,[0.0],[ 0. 16.],2,1.4107,1.3572,1.33,1.33,0.374,1.221,1.493,1.33,1.33
3rd_01_960x540_60_yuv420p.yuv_H264_3M,lofps_4K_testnum_014,540,3.0,60,H264,30,30,0,0,[],[ 0. 16.],2,4.4417,4.4417,4.3575,4.3575,0.882,4.126,4.757,4.3575,4.3575
racing_01_1280x720_30_yuv420p.yuv_AV1_0.5M,lofps_4K_testnum_014,720,0.5,30,AV1,30,30,0,0,[],[ 0. 16.],2,2.3347,2.3347,2.3075,2.3075,0.675,2.093,2.576,2.3075,2.3075
racing_01_1280x720_30_yuv420p.yuv_HEVC_5M,lofps_4K_testnum_014,720,5.0,30,HEVC,30,29,0,1,[11.0],[ 0. 16.],2,4.3203,4.3769,4.3575,4.4196,0.594,4.161,4.593,4.4196,4.4196
racing_01_1920x1080_30_yuv420p.yuv_H264_10M,lofps_4K_testnum_014,1080,10.0,30,H264,30,30,0,0,[],[ 0. 16.],2,4.7053,4.7053,4.69,4.69,0.779,4.427,4.984,4.69,4.69
racing_01_1920x1080_60_yuv420p.yuv_AV1_2M,lofps_4K_testnum_014,1080,2.0,60,AV1,30,30,0,0,[],[ 0. 16.],2,3.5433,3.5433,3.5125,3.4448,0.805,3.255,3.831,3.4448,3.4448
racing_01_1920x1080_60_yuv420p.yuv_H264_30M,lofps_4K_testnum_014,1080,30.0,60,H264,30,27,2,1,"[13.0, 14.0, 21.0]",[ 0. 16.],2,5.2303,5.1663,5.19,5.0546,0.692,4.905,5.427,5.0546,5.0546
racing_01_1920x1080_60_yuv420p.yuv_HEVC_10M,lofps_4K_testnum_014,1080,10.0,60,HEVC,30,30,0,0,[],[ 0. 16.],2,4.7847,4.7847,4.7675,4.7675,0.774,4.508,5.062,4.7675,4.7675
racing_01_3840x2160_30_yuv420p.yuv_AV1_50M,lofps_4K_testnum_014,2160,50.0,30,AV1,30,29,0,1,[0.0],[ 0. 16.],2,5.543,5.6007,5.625,5.5759,0.513,5.414,5.788,5.5759,5.5759
racing_01_3840x2160_60_yuv420p.yuv_HEVC_10M,lofps_4K_testnum_014,2160,10.0,60,HEVC,30,30,0,0,[],[ 0. 16.],2,5.0203,5.0203,4.9975,4.9975,0.893,4.701,5.34,4.9975,4.9975
racing_01_3840x2160_60_yuv420p.yuv_HEVC_20M,lofps_4K_testnum_014,2160,20.0,60,HEVC,30,30,0,0,[],[ 0. 16.],2,4.7497,4.7497,4.8025,4.8025,1.384,4.254,5.245,4.8025,4.8025
racing_01_960x540_60_yuv420p.yuv_HEVC_3M,lofps_4K_testnum_014,540,3.0,60,HEVC,30,29,1,0,[0.0],[ 0. 16.],2,3.842,3.7421,3.7575,3.6937,0.752,3.468,4.016,3.6937,3.6937
isometric_01_1920x1080_60_yuv420p.yuv_AV1_1M,lofps_4K_testnum_014,1080,1.0,60,AV1,30,30,0,0,[],[ 0. 16.],2,4.1197,4.1197,4.05,4.05,0.825,3.824,4.415,4.05,4.05
isometric_01_1920x1080_60_yuv420p.yuv_AV1_2M,lofps_4K_testnum_014,1080,2.0,60,AV1,30,27,1,2,"[12.0, 16.0, 23.0]",[ 0. 16.],2,4.7823,4.8837,4.835,4.85,0.627,4.647,5.12,4.85,4.85
isometric_01_3840x2160_30_yuv420p.yuv_AV1_1.3M,lofps_4K_testnum_014,2160,1.3,30,AV1,30,30,0,0,[],[ 0. 16.],2,4.6797,4.6797,4.7,4.7,0.921,4.35,5.009,4.7,4.7
isometric_01_3840x2160_30_yuv420p.yuv_AV1_3M,lofps_4K_testnum_014,2160,3.0,30,AV1,30,29,0,1,[28.0],[ 0. 16.],2,5.3563,5.4341,5.295,5.4477,0.78,5.15,5.718,5.4477,5.4477
isometric_01_60_720,lofps_4K_testnum_014,720,100.0,60,ref,30,30,0,0,[],[ 0. 16.],2,5.4077,5.4077,5.4275,5.4275,0.836,5.109,5.707,5.4275,5.4275
rts_01_1280x720_30_yuv420p.yuv_HEVC_0.3M,lofps_4K_testnum_014,720,0.3,30,HEVC,30,29,1,0,[16.0],[ 0. 16.],2,3.5783,3.5031,3.4925,3.4925,0.778,3.22,3.786,3.4925,3.4925
rts_01_1920x1080_30_yuv420p.yuv_H264_0.49M,lofps_4K_testnum_014,1080,0.49,30,H264,30,30,0,0,[],[ 0. 16.],2,3.212,3.212,3.2475,3.1907,0.738,2.948,3.476,3.1907,3.1907
rts_01_1920x1080_30_yuv420p.yuv_HEVC_0.16M,lofps_4K_testnum_014,1080,0.16,30,HEVC,30,30,0,0,[],[ 0. 16.],2,2.7383,2.7383,2.75,2.75,0.914,2.411,3.065,2.75,2.75
rts_01_1920x1080_60_yuv420p.yuv_AV1_0.5M,lofps_4K_testnum_014,1080,0.5,60,AV1,30,30,0,0,[],[ 0. 16.],2,4.3063,4.3063,4.3075,4.3075,0.799,4.02,4.592,4.3075,4.3075
rts_01_3840x2160_30_yuv420p.yuv_HEVC_5M,lofps_4K_testnum_014,2160,5.0,30,HEVC,30,30,0,0,[],[ 0. 16.],2,5.8043,5.8043,5.885,5.885,0.835,5.505,6.103,5.885,5.885
racing_02_1280x720_60_yuv420p.yuv_AV1_5M,lofps_4K_testnum_014,720,5.0,60,AV1,30,29,1,0,[22.0],[ 0. 16.],2,4.9363,4.8669,4.9525,4.8785,0.53,4.674,5.06,4.8785,4.8785
racing_02_1920x1080_30_yuv420p.yuv_HEVC_0.75M,lofps_4K_testnum_014,1080,0.75,30,HEVC,30,28,1,1,"[3.0, 17.0]",[ 0. 16.],2,3.002,2.995,2.9775,2.9107,0.519,2.803,3.187,2.9107,2.9107
racing_02_1920x1080_30_yuv420p.yuv_HEVC_5M,lofps_4K_testnum_014,1080,5.0,30,HEVC,30,30,0,0,[],[ 0. 16.],2,4.8967,4.8967,4.9175,4.9175,0.678,4.654,5.139,4.9175,4.9175
racing_02_3840x2160_30_yuv420p.yuv_HEVC_20M,lofps_4K_testnum_014,2160,20.0,30,HEVC,30,30,0,0,[],[ 0. 16.],2,5.5477,5.5477,5.55,5.55,0.781,5.268,5.827,5.55,5.55
racing_02_3840x2160_30_yuv420p.yuv_HEVC_5M,lofps_4K_testnum_014,2160,5.0,30,HEVC,30,28,0,2,"[12.0, 25.0]",[ 0. 16.],2,5.0017,5.11,4.9825,5.0444,0.484,4.931,5.289,5.0444,5.0444
racing_02_3840x2160_60_yuv420p.yuv_AV1_14M,lofps_4K_testnum_014,2160,14.0,60,AV1,30,30,0,0,[],[ 0. 16.],2,5.7227,5.7227,5.7225,5.7225,0.764,5.449,5.996,5.7225,5.7225
racing_02_3840x2160_60_yuv420p.yuv_H264_15M,lofps_4K_testnum_014,2160,15.0,60,H264,30,29,0,1,[4.0],[ 0. 16.],2,5.3843,5.4462,5.3475,5.4126,0.653,5.208,5.684,5.4126,5.4126
racing_02_3840x2160_60_yuv420p.yuv_H264_20M,lofps_4K_testnum_014,2160,20.0,60,H264,30,29,0,1,[24.0],[ 0. 16.],2,5.6643,5.7214,5.67,5.67,0.683,5.473,5.97,5.67,5.67
racing_02_960x540_60_yuv420p.yuv_H264_0.5M,lofps_4K_testnum_014,540,0.5,60,H264,30,30,0,0,[],[ 0. 16.],2,1.798,1.798,1.7975,1.7975,0.598,1.584,2.012,1.7975,1.7975
racing_02_960x540_60_yuv420p.yuv_HEVC_1M,lofps_4K_testnum_014,540,1.0,60,HEVC,30,30,0,0,[],[ 0. 16.],2,3.2867,3.2867,3.2525,3.2525,0.901,2.964,3.609,3.2525,3.2525
card_01_1280x720_30_yuv420p.yuv_AV1_0.1M,lofps_4K_testnum_014,720,0.1,30,AV1,30,30,0,0,[],[ 0. 16.],2,2.715,2.715,2.7175,2.7175,0.614,2.495,2.935,2.7175,2.7175
card_01_1280x720_60_yuv420p.yuv_HEVC_0.2M,lofps_4K_testnum_014,720,0.2,60,HEVC,30,30,0,0,[],[ 0. 16.],2,2.5843,2.5843,2.58,2.623,0.599,2.37,2.799,2.623,2.623
card_01_1920x1080_30_yuv420p.yuv_HEVC_0.5M,lofps_4K_testnum_014,1080,0.5,30,HEVC,30,30,0,0,[],[ 0. 16.],2,3.7907,3.7907,3.725,3.725,0.84,3.49,4.091,3.725,3.725
card_01_3840x2160_30_yuv420p.yuv_AV1_0.3M,lofps_4K_testnum_014,2160,0.3,30,AV1,30,30,0,0,[],[ 0. 16.],2,4.2737,4.2737,4.2375,4.2375,0.865,3.964,4.583,4.2375,4.2375
card_01_3840x2160_30_yuv420p.yuv_AV1_0.5M,lofps_4K_testnum_014,2160,0.5,30,AV1,30,30,0,0,[],[ 0. 16.],2,4.7917,4.7917,4.74,4.74,0.868,4.481,5.102,4.74,4.74
card_01_3840x2160_30_yuv420p.yuv_HEVC_1M,lofps_4K_testnum_014,2160,1.0,30,HEVC,30,30,0,0,[],[ 0. 16.],2,4.717,4.717,4.7225,4.7225,0.82,4.424,5.01,4.7225,4.7225
card_01_3840x2160_60_yuv420p.yuv_AV1_0.3M,lofps_4K_testnum_014,2160,0.3,60,AV1,30,30,0,0,[],[ 0. 16.],2,4.0497,4.0497,3.975,3.975,0.862,3.741,4.358,3.975,3.975
card_01_3840x2160_60_yuv420p.yuv_AV1_5M,lofps_4K_testnum_014,2160,5.0,60,AV1,30,30,0,0,[],[ 0. 16.],2,6.25,6.25,6.2675,6.2675,0.623,6.027,6.473,6.2675,6.2675
card_01_3840x2160_60_yuv420p.yuv_H264_5M,lofps_4K_testnum_014,2160,5.0,60,H264,30,29,0,1,[19.0],[ 0. 16.],2,5.3073,5.3859,5.26,5.3426,0.821,5.087,5.685,5.3426,5.3426
card_01_3840x2160_60_yuv420p.yuv_HEVC_2M,lofps_4K_testnum_014,2160,2.0,60,HEVC,30,30,0,0,[],[ 0. 16.],2,5.2677,5.2677,5.25,5.25,0.942,4.931,5.605,5.25,5.25
fps_02_1920x1080_30_yuv420p.yuv_HEVC_0.5M,lofps_4K_testnum_014,1080,0.5,30,HEVC,30,28,2,0,"[14.0, 28.0]",[ 0. 16.],2,3.037,2.88,2.9675,2.7931,0.751,2.602,3.158,2.7931,2.7931
fps_02_1920x1080_60_yuv420p.yuv_AV1_0.5M,lofps_4K_testnum_014,1080,0.5,60,AV1,30,29,1,0,[0.0],[ 0. 16.],2,3.1537,3.0807,3.045,3.0408,0.712,2.822,3.34,3.0408,3.0408
fps_02_1920x1080_60_yuv420p.yuv_AV1_5M,lofps_4K_testnum_014,1080,5.0,60,AV1,30,29,0,1,[16.0],[ 0. 16.],2,5.0413,5.1324,5.1025,5.1025,0.779,4.849,5.416,5.1025,5.1025
fps_02_1920x1080_60_yuv420p.yuv_HEVC_2M,lofps_4K_testnum_014,1080,2.0,60,HEVC,30,26,2,2,"[5.0, 14.0, 16.0, 23.0]",[ 0. 16.],2,4.9877,5.0035,5.015,4.9424,0.732,4.722,5.285,4.9424,4.9424
fps_02_1920x1080_60_yuv420p.yuv_HEVC_5M,lofps_4K_testnum_014,1080,5.0,60,HEVC,30,27,0,3,"[6.0, 11.0, 13.0]",[ 0. 16.],2,5.4707,5.6848,5.4375,5.6012,0.618,5.452,5.918,5.6012,5.6012
fps_02_30_2160,lofps_4K_testnum_014,2160,100.0,30,ref,30,30,0,0,[],[ 0. 16.],2,5.7203,5.7203,5.7675,5.7675,0.918,5.392,6.049,5.7675,5.7675
fps_02_3840x2160_60_yuv420p.yuv_AV1_2M,lofps_4K_testnum_014,2160,2.0,60,AV1,30,30,0,0,[],[ 0. 16.],2,4.9993,4.9993,5.0325,5.0325,1.077,4.614,5.385,5.0325,5.0325
fps_02_3840x2160_60_yuv420p.yuv_HEVC_2M,lofps_4K_testnum_014,2160,2.0,60,HEVC,30,30,0,0,[],[ 0. 16.],2,4.7077,4.7077,4.6225,4.6225,0.955,4.366,5.049,4.6225,4.6225
fps_02_960x540_60_yuv420p.yuv_H264_2M,lofps_4K_testnum_014,540,2.0,60,H264,30,28,1,1,"[8.0, 14.0]",[ 0. 16.],2,4.2503,4.2325,4.195,4.093,0.785,3.942,4.523,4.093,4.093
fps_02_960x540_60_yuv420p.yuv_HEVC_0.5M,lofps_4K_testnum_014,540,0.5,60,HEVC,30,30,0,0,[],[ 0. 16.],2,2.715,2.715,2.715,2.715,0.797,2.43,3.0,2.715,2.715
3rd_02_1280x720_30_yuv420p.yuv_HEVC_2M,lofps_4K_testnum_014,720,2.0,30,HEVC,30,29,1,0,[0.0],[ 0. 16.],2,3.5037,3.4186,3.4375,3.4375,0.67,3.175,3.663,3.4375,3.4375
3rd_02_1920x1080_30_yuv420p.yuv_HEVC_3M,lofps_4K_testnum_014,1080,3.0,30,HEVC,30,30,0,0,[],[ 0. 16.],2,4.1033,4.1033,4.11,4.11,1.043,3.73,4.477,4.11,4.11
3rd_02_60_720,lofps_4K_testnum_014,720,100.0,60,ref,30,29,1,0,[14.0],[ 0. 16.],2,4.717,4.64,4.7275,4.6452,0.864,4.326,4.954,4.6452,4.6452
3rd_02_960x540_30_yuv420p.yuv_H264_0.75M,lofps_4K_testnum_014,540,0.75,30,H264,30,29,1,0,[14.0],[ 0. 16.],2,2.3837,2.2962,2.4025,2.3093,0.689,2.045,2.547,2.3093,2.3093
3rd_02_960x540_30_yuv420p.yuv_HEVC_0.5M,lofps_4K_testnum_014,540,0.5,30,HEVC,30,28,2,0,"[0.0, 14.0]",[ 0. 16.],2,2.4467,2.3225,2.4025,2.3248,0.567,2.113,2.532,2.3248,2.3248
3rd_03_1280x720_30_yuv420p.yuv_AV1_0.1M,lofps_4K_testnum_014,720,0.1,30,AV1,30,30,0,0,[],[ 0. 16.],2,2.4327,2.4327,2.45,2.3715,0.841,2.132,2.733,2.3715,2.3715
3rd_03_1280x720_30_yuv420p.yuv_HEVC_0.25M,lofps_4K_testnum_014,720,0.25,30,HEVC,30,28,2,0,"[14.0, 28.0]",[ 0. 16.],2,2.6567,2.4825,2.69,2.505,0.659,2.238,2.727,2.505,2.505
3rd_03_1920x1080_60_yuv420p.yuv_AV1_2M,lofps_4K_testnum_014,1080,2.0,60,AV1,30,29,0,1,[11.0],[ 0. 16.],2,5.3283,5.4293,5.345,5.4541,0.831,5.127,5.732,5.4541,5.4541
3rd_03_1920x1080_60_yuv420p.yuv_HEVC_0.5M,lofps_4K_testnum_014,1080,0.5,60,HEVC,30,30,0,0,[],[ 0. 16.],2,3.1957,3.1957,3.185,3.185,0.94,2.859,3.532,3.185,3.185
3rd_03_30_540,lofps_4K_testnum_014,540,100.0,30,ref,30,30,0,0,[],[ 0. 16.],2,5.6643,5.6643,5.645,5.645,0.8,5.378,5.951,5.645,5.645
3rd_03_3840x2160_60_yuv420p.yuv_H264_30M,lofps_4K_testnum_014,2160,30.0,60,H264,30,29,0,1,[16.0],[ 0. 16.],2,5.4823,5.6055,5.6025,5.6025,0.933,5.266,5.945,5.6025,5.6025
3rd_03_3840x2160_60_yuv420p.yuv_H264_6M,lofps_4K_testnum_014,2160,6.0,60,H264,30,30,0,0,[],[ 0. 16.],2,4.836,4.836,4.7725,4.7725,1.185,4.412,5.26,4.7725,4.7725
3rd_03_960x540_30_yuv420p.yuv_H264_0.5M,lofps_4K_testnum_014,540,0.5,30,H264,30,29,1,0,[14.0],[ 0. 16.],2,3.058,2.9745,3.0725,2.9833,0.747,2.702,3.247,2.9833,2.9833
3rd_03_960x540_60_yuv420p.yuv_H264_0.5M,lofps_4K_testnum_014,540,0.5,60,H264,30,30,0,0,[],[ 0. 16.],2,2.7757,2.7757,2.765,2.765,0.739,2.511,3.04,2.765,2.765
3rd_03_960x540_60_yuv420p.yuv_HEVC_0.2M,lofps_4K_testnum_014,540,0.2,60,HEVC,30,30,0,0,[],[ 0. 16.],2,1.7093,1.7093,1.68,1.68,0.614,1.489,1.929,1.68,1.68
