PVS,dataset,Bitrate,Framerate,Resolution,video_codec,0.0_quantil_StdDev_MotionX_non-i,1.0_quantil_FrameSize,iqr_Av_QPBB_non-i,iqr_min_QP,kurtosis_Av_Motion,kurtosis_Av_QPBB_non-i,kurtosis_FrameSize_non-i,mean_Av_QPBB_non_i,quant,std_FrameSize_non-i,std_max_QP_non-i,predicted_mos_mode3_baseline,p1204_3_score
platformer_01_1280x720_120_yuv420p.yuv_HEVC_1M,hifps_120_testnum_003,976.1533203125,120.0,921600.0,HEVC,0.39238698212830725,7855.0,1.7625945975773405,2.0,-0.8096645499850865,2.31964738523334,8.694625262323877,45.62854488922733,0.8946773507691633,186.92610984693468,1.4269572993662132,1.6816184343381946,1.6638631170316787
platformer_01_1280x720_120_yuv420p.yuv_HEVC_2M,hifps_120_testnum_000,1966.525390625,120.0,921600.0,HEVC,0.4628976991872898,18692.0,1.9969013646141178,2.0,-0.8370197458417907,2.1336594188066718,3.5356082579397894,40.06575095320446,0.7856029598667541,395.9037282209749,1.8342109373891486,2.5202841950016,2.3130515404282086
platformer_01_1280x720_120_yuv420p.yuv_HEVC_5M,hifps_120_testnum_000,4892.3330078125,120.0,921600.0,HEVC,0.5416017884484916,47580.0,2.0,2.0,-0.7976793309397987,4.135163765519614,3.3064734317382625,32.96617628932566,0.6463956135161893,1279.709658667231,1.7372473569535292,3.165516341504388,3.0056886066430137
platformer_01_1280x720_30_yuv420p.yuv_HEVC_0.3M,hifps_120_testnum_003,295.142578125,30.0,921600.0,HEVC,2.9227140189288114,7837.0,1.557536094691585,0.0,-0.8593232894955993,0.46271836707377023,3.8447126971497827,48.26881239321634,0.9464473018277715,176.1657521344326,0.7118129951876875,1.127807939246152,1.1353131223469268
platformer_01_1280x720_30_yuv420p.yuv_HEVC_0.4M,lofps_4k_testnum_007,394.4873046875,30.0,921600.0,HEVC,2.1048948093217956,13791.0,1.4819307580401784,2.0,-0.8912163160363202,1.2005021981242754,3.9772160419489113,46.280714464246074,0.9074649894950211,284.3608192621013,1.062067864316672,1.3976004626835177,1.3673604125066519
platformer_01_1280x720_30_yuv420p.yuv_HEVC_0.7M,lofps_4K_testnum_013,691.892578125,30.0,921600.0,HEVC,2.213271821788476,25675.0,1.999175597691675,2.0,-0.880342317298568,2.1543547283157514,2.0033400394042875,42.03671159079176,0.8242492468782698,575.50908116055,1.5163212376819137,2.020872222499604,1.9160812920781165
platformer_01_1280x720_30_yuv420p.yuv_HEVC_1.3M,hifps_120_testnum_000,1286.1826171875,30.0,921600.0,HEVC,1.977342278572617,44190.0,2.0,2.0,-0.8140319027194445,1.3847128365110697,1.457802526885879,36.62444943605291,0.7181264595304493,1035.0625137200545,1.7408214938391855,2.618951434061593,2.480137247291275
platformer_01_1280x720_60_yuv420p.yuv_HEVC_0.4M,lofps_4k_testnum_011,395.19140625,60.0,921600.0,HEVC,0.9868078109872007,5497.0,1.48622982959467,3.0,-0.7681565178068035,1.4124843121321948,9.155750028324716,49.05369224463614,0.9618371028360028,126.12978019983314,0.348097475936661,1.113409383208888,1.131314836990366
platformer_01_1280x720_60_yuv420p.yuv_HEVC_0.7M,lofps_4k_testnum_011,686.9189453125,60.0,921600.0,HEVC,0.790407808113649,14288.0,1.3418278323470219,3.0,-0.7537207356601519,3.043310931343963,3.851117635102616,45.18417485739695,0.8859642128901362,331.55629986476094,1.2728873515370105,1.759087031537775,1.7048892692872415
platformer_01_1280x720_60_yuv420p.yuv_HEVC_1M,hifps_120_testnum_004,985.2587890625,60.0,921600.0,HEVC,1.3372593432167181,18453.0,2.0884167345023315,3.0,-0.8732210994984304,2.457090616851315,5.014035658649467,42.52928383212962,0.8339075261201887,397.36049485758207,1.5453404539121416,2.187300546404975,2.0709490102492216
platformer_01_1280x720_60_yuv420p.yuv_HEVC_2M,lofps_4k_testnum_007,1981.8232421875,60.0,921600.0,HEVC,1.2352197310863695,38131.0,1.0044898158731357,1.0,-0.8566267173616744,3.755789223660159,3.010338561072955,36.55603367238451,0.7167849739683237,888.2033226814859,1.650714741462612,2.89098367576618,2.4859262689335546
platformer_01_1920x1080_120_yuv420p.yuv_H264_2.5M,hifps_120_testnum_000,2709.470703125,120.0,2073600.0,H264,1.3615242186537966,22779.0,0.0,0.0,-0.29326061360967337,256.9366587514856,1.0978892743114237,49.99470984807601,0.9802884283936473,688.7151068845453,0.06459819285839309,1.0571428571428572,1.0285714285714285
platformer_01_1920x1080_120_yuv420p.yuv_H264_3.6M,hifps_120_testnum_004,3524.359375,120.0,2073600.0,H264,0.9845899525501633,35053.0,3.693504901960779,4.0,4.115103077339096,0.7830997723249813,2.9341544507603627,41.49700475477932,0.8136667598976337,643.795928269787,2.9332567668684844,2.4076129516803815,2.2749713906442732
platformer_01_1920x1080_120_yuv420p.yuv_H264_4.3M,hifps_120_testnum_003,4205.6875,120.0,2073600.0,H264,1.2867848223535843,40557.0,3.6712009803921575,5.0,3.0580941665072547,0.17376005585073395,11.957859280118177,39.10194841698147,0.7667048709212053,997.4494337432471,2.6041700750649626,2.765452833698543,2.6395814634942587
platformer_01_1920x1080_120_yuv420p.yuv_HEVC_0.5M,hifps_120_testnum_004,874.359375,120.0,2073600.0,HEVC,0.9245894873034738,10232.0,0.0,0.0,-0.10572090808267998,62.58937588992329,3.052361576154577,49.95759842923871,0.9795607535144845,247.52203723409156,0.18768090604788795,1.1155695032002353,1.097977753464077
platformer_01_1920x1080_120_yuv420p.yuv_HEVC_3M,hifps_120_testnum_004,2930.982421875,120.0,2073600.0,HEVC,1.020320897396196,25381.0,3.0,3.0,-0.8298164333150915,0.3275495088063951,3.309671564423625,40.459003655674955,0.7933137971700972,777.6671172436636,2.1984071114407384,2.9536583892357084,2.7103648592267513
platformer_01_1920x1080_30_yuv420p.yuv_H264_1.5M,lofps_4k_testnum_011,1486.8857421875,30.0,2073600.0,H264,3.891022193793214,53274.0,3.0,3.0,-0.8264069777262466,0.13673385324816412,0.9825346280250429,41.30250631188931,0.8098530649390061,1190.1601231139175,2.2982681127161313,2.1905014960518088,2.1796935321902247
platformer_01_1920x1080_30_yuv420p.yuv_H264_1M,hifps_120_testnum_004,989.6875,30.0,2073600.0,H264,3.507970881455542,38177.0,4.0,4.0,-0.6721840135680499,-0.9526440037827282,3.162572126647838,47.99490991212538,0.9410766649436348,797.6226986244544,2.086962600905454,1.0902455081085125,1.1806389445951755
platformer_01_1920x1080_30_yuv420p.yuv_H264_3M,lofps_4k_testnum_009,2987.0,30.0,2073600.0,H264,3.339618994000234,87441.0,3.0,3.0,-0.7307160791749641,1.2441543146304648,19.680057935752703,34.1531059413732,0.6696687439484941,3074.242849811343,2.2838956215955233,3.0482823197331776,3.0936521580642964
platformer_01_1920x1080_30_yuv420p.yuv_HEVC_0.3M,lofps_4k_testnum_011,396.30078125,30.0,2073600.0,HEVC,3.8941996626376185,10379.0,0.0,0.0,-1.0598945389767847,171.86067123418033,1.7842954492626824,49.99844359146388,0.9803616390483114,371.85909013222164,0.0,1.0619108009530822,1.0883779397561726
platformer_01_1920x1080_30_yuv420p.yuv_HEVC_0.75M,lofps_4k_testnum_005,741.3125,30.0,2073600.0,HEVC,3.872741180037313,24316.0,1.0,1.0,-0.8825838774192061,1.6630478650227731,2.1279028761759307,45.55725079141122,0.8932794272825729,688.9989891879183,1.2763089584710503,1.8654642118976816,1.7355879236516283
platformer_01_1920x1080_30_yuv420p.yuv_HEVC_1M,lofps_4k_testnum_009,996.1376953125,30.0,2073600.0,HEVC,4.470806964288558,30945.0,1.0,1.0,-0.9268042468872184,1.0485341316044163,2.490675317515681,43.3899437083358,0.8507832099673687,868.7232069295183,1.4185241361313956,2.2531343739327765,2.0400358047864047
platformer_01_1920x1080_60_yuv420p.yuv_H264_2.8M,hifps_120_testnum_003,2738.0576171875,60.0,2073600.0,H264,2.8100510265304353,47860.0,3.536213235294113,3.0,-0.07955105094038384,0.685888247892315,1.904108182487886,38.896752553275064,0.7626814226132366,1037.2025041215052,2.474848212442637,2.7931628052801996,2.6620482058068076
